node,created_iteration,parent,action,rank,blocks,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28,class29,class30,class31,class32,class33,class34,class35,class36,class37,class38,class39,class40,class41,class42,class43,class44,class45,class46
0,0,,,0,[],0,0,0,0,0,0,64,64,64,64,64,64,0,0,64,0,0,0,64,64,0,64,0,0,32,0,0,64,64,64,64,32,0,16,32,0,0,32,16,16,0,32,16,16,8,8
1,1,0,24,0,[24],0,0,0,0,0,0,32,40,32,32,32,32,0,0,40,0,0,0,28,32,0,28,0,0,16,0,0,36,36,28,36,16,0,10,16,0,0,16,8,8,0,16,12,12,4,4
2,2,0,0,1,[0],0,0,0,0,0,0,28,32,24,28,28,28,0,0,32,0,0,0,28,32,0,28,0,0,18,0,0,36,40,28,28,16,0,8,16,0,0,16,8,8,0,16,12,14,4,4
3,3,2,28,2,"[0, 28]",0,0,0,0,0,0,14,20,12,14,14,14,0,0,22,0,0,0,13,16,0,12,0,0,9,0,0,23,24,13,17,8,0,5,8,0,0,8,4,4,0,8,9,11,2,2
4,4,1,22,2,"[22, 24]",0,0,0,0,0,0,18,24,14,16,16,16,0,0,20,0,0,0,14,20,0,14,0,0,10,0,0,20,26,12,16,10,0,6,8,0,0,10,6,4,0,8,8,10,2,2
5,5,0,2,1,[2],0,0,0,0,0,0,32,24,24,24,24,24,0,0,32,0,0,0,32,32,0,24,0,0,16,0,0,32,48,24,24,16,0,8,16,0,0,16,12,8,0,16,12,16,4,4
6,6,5,9,3,"[2, 9]",0,0,0,0,0,0,16,8,8,8,8,8,0,0,16,0,0,0,16,16,0,8,0,0,8,0,0,16,32,8,8,8,0,0,8,0,0,8,8,4,0,8,8,16,2,2
7,7,5,37,2,"[2, 37]",0,0,0,0,0,0,12,20,4,0,4,20,0,0,20,0,0,0,4,8,0,4,0,0,4,0,0,12,28,4,8,12,0,8,8,0,0,4,6,4,0,8,8,12,4,0
8,8,2,23,3,"[0, 23]",0,0,0,0,0,0,8,8,0,8,8,0,0,0,16,0,0,0,8,8,0,0,0,0,16,0,0,16,24,0,8,4,0,4,0,0,0,8,8,8,0,0,8,12,0,0
9,9,1,3,2,"[3, 24]",0,0,0,0,0,0,20,12,20,24,20,4,0,0,20,0,0,0,24,24,0,20,0,0,12,0,0,24,32,20,24,4,0,8,8,0,0,12,6,4,0,8,12,12,0,4
10,10,6,0,5,"[0, 2, 9]",0,0,0,0,0,0,8,5,4,4,4,4,0,0,8,0,0,0,7,10,0,3,0,0,5,0,0,10,22,4,4,5,0,0,4,0,0,4,4,2,0,4,7,14,1,1
11,11,9,9,4,"[3, 9, 24]",0,0,0,0,0,0,10,4,6,8,6,2,0,0,10,0,0,0,12,12,0,6,0,0,6,0,0,12,28,6,8,2,0,8,6,0,0,6,5,2,0,4,10,12,0,2
12,12,3,25,3,"[0, 25, 28]",0,0,0,0,0,0,8,13,6,9,8,7,0,0,15,0,0,0,7,10,0,6,0,0,5,0,0,15,16,6,10,5,0,3,4,0,0,5,3,2,0,4,7,9,1,1
13,13,5,0,3,"[0, 2]",0,0,0,0,0,0,16,16,10,12,12,12,0,0,16,0,0,0,14,20,0,10,0,0,10,0,0,20,32,10,10,10,0,4,8,0,0,8,6,4,0,8,10,14,2,2
14,14,1,8,2,"[8, 24]",0,0,0,0,0,0,16,14,12,12,12,12,0,0,20,0,0,0,14,16,0,10,0,0,8,0,0,18,24,10,12,8,0,2,4,0,0,8,6,4,0,8,8,12,2,2
15,15,2,6,3,"[0, 6]",0,0,0,0,0,0,12,16,8,12,12,12,0,0,24,0,0,0,12,16,0,12,0,0,16,0,0,24,28,12,12,8,0,4,8,0,0,10,4,8,0,8,10,13,2,2
16,16,13,6,5,"[0, 2, 6]",0,0,0,0,0,0,7,8,4,5,5,4,0,0,12,0,0,0,6,10,0,4,0,0,8,0,0,12,22,5,4,5,0,2,4,0,0,5,3,4,0,4,8,13,1,1
17,17,7,3,4,"[2, 3, 37]",0,0,0,0,0,0,12,12,0,0,0,16,0,0,16,0,0,0,0,8,0,0,0,0,4,0,0,8,20,0,0,12,0,0,4,0,0,0,6,4,0,8,4,12,4,0
18,18,13,23,5,"[0, 2, 23]",0,0,0,0,0,0,4,4,0,2,2,0,0,0,8,0,0,0,4,4,0,0,0,0,8,0,0,8,18,0,4,2,0,2,0,0,0,4,6,4,0,0,6,12,0,0
19,19,6,15,5,"[2, 9, 15]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,0,0,0,4,0,0,0,4,16,0,0
20,20,5,6,3,"[2, 6]",0,0,0,0,0,0,14,12,9,10,10,10,0,0,16,0,0,0,14,16,0,10,0,0,9,0,0,18,30,11,11,8,0,4,8,0,0,8,6,4,0,8,9,14,2,2
21,21,20,21,5,"[2, 6, 21]",0,0,0,0,0,0,6,0,6,6,6,0,0,0,8,0,0,0,14,8,0,6,0,0,5,0,0,10,20,8,8,0,0,0,4,0,0,8,4,2,0,4,6,14,0,2
22,22,20,38,4,"[2, 6, 38]",0,0,0,0,0,0,6,10,2,0,2,8,0,0,9,0,0,0,2,4,0,2,0,0,2,0,0,5,16,2,3,6,0,4,4,0,0,2,3,2,0,4,6,10,2,0
23,23,7,36,3,"[2, 36, 37]",0,0,0,0,0,0,8,16,4,0,2,20,0,0,20,0,0,0,4,4,0,2,0,0,2,0,0,8,12,2,6,10,0,2,4,0,0,4,4,4,0,8,4,10,4,0
24,24,22,32,5,"[2, 6, 32, 38]",0,0,0,0,0,0,3,4,1,0,1,4,0,0,5,0,0,0,0,2,0,1,0,0,1,0,0,3,3,1,1,2,0,0,1,0,0,0,0,1,0,2,2,7,1,0
25,25,23,9,5,"[2, 9, 36, 37]",0,0,0,0,0,0,4,6,2,0,1,6,0,0,10,0,0,0,2,2,0,1,0,0,1,0,0,4,8,1,1,5,0,0,0,0,0,2,3,2,0,4,2,10,2,0
26,26,16,8,7,"[0, 2, 6, 8]",0,0,0,0,0,0,4,2,0,2,2,0,0,0,6,0,0,0,2,6,0,0,0,0,4,0,0,6,18,0,0,2,0,2,2,0,0,2,2,2,0,2,7,13,0,0
27,28,14,12,4,"[8, 12, 24]",0,0,0,0,0,0,6,4,4,5,5,5,0,0,10,0,0,0,6,6,0,5,0,0,4,0,0,9,14,4,4,3,0,1,2,0,0,4,3,2,0,4,5,11,1,1
28,29,10,22,7,"[0, 2, 9, 22]",0,0,0,0,0,0,5,3,2,3,3,3,0,0,4,0,0,0,5,6,0,3,0,0,1,0,0,6,14,3,3,3,0,0,4,0,0,2,2,0,0,4,4,12,1,1
29,30,15,34,4,"[0, 6, 34]",0,0,0,0,0,0,8,12,5,7,7,6,0,0,14,0,0,0,6,10,0,6,0,0,8,0,0,11,16,5,6,5,0,3,4,0,0,6,3,4,0,4,7,9,1,1
30,31,8,6,5,"[0, 6, 23]",0,0,0,0,0,0,4,4,0,4,4,0,0,0,12,0,0,0,4,4,0,0,0,0,16,0,0,12,16,0,4,2,0,2,0,0,0,6,4,8,0,0,8,11,0,0
31,32,14,3,4,"[3, 8, 24]",0,0,0,0,0,0,10,4,6,8,6,2,0,0,10,0,0,0,12,12,0,6,0,0,6,0,0,12,20,6,8,2,0,0,2,0,0,6,4,2,0,4,8,12,0,2
32,33,15,12,5,"[0, 6, 12, 18]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,0,0,16,16,0,0,0,0,0,0,0,0,8,0,8,0,0,8,12,0,0
33,34,6,24,4,"[2, 9, 24]",0,0,0,0,0,0,2,2,0,2,2,0,0,0,4,0,0,0,2,4,0,0,0,0,2,0,0,6,14,0,2,2,0,0,0,0,0,2,2,0,0,0,6,12,0,0
34,35,7,38,3,"[2, 37, 38]",0,0,0,0,0,0,8,16,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,8,0,8,8,0,0,0,4,4,0,8,8,8,4,0
35,36,14,9,4,"[8, 9, 24]",0,0,0,0,0,0,8,10,0,0,0,8,0,0,10,0,0,0,0,8,0,0,0,0,4,0,0,10,18,0,0,8,0,0,2,0,0,0,4,2,0,4,6,12,2,0
36,37,20,4,5,"[2, 4, 6]",0,0,0,0,0,0,7,8,3,5,5,6,0,0,6,0,0,0,6,10,0,4,0,0,3,0,0,11,19,4,5,5,0,2,4,0,0,3,3,0,0,4,7,12,1,1
37,38,13,26,4,"[0, 2, 26]",0,0,0,0,0,0,8,6,8,12,10,2,0,0,8,0,0,0,10,12,0,8,0,0,6,0,0,12,16,8,10,2,0,4,4,0,0,6,2,2,0,4,10,10,0,2
38,40,9,29,3,"[3, 24, 29]",0,0,0,0,0,0,10,7,10,12,10,2,0,0,12,0,0,0,11,12,0,8,0,0,6,0,0,13,15,8,12,2,0,2,2,0,0,6,3,2,0,4,8,9,0,2
39,42,17,38,5,"[2, 3, 37, 38]",0,0,0,0,0,0,8,8,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,8,0,0,4,0,0,0,4,4,0,8,4,8,4,0
40,44,23,0,5,"[0, 2, 36, 37]",0,0,0,0,0,0,0,8,2,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,4,0,0,2,0,0,2,0,2,0,4,2,8,2,0
41,45,17,21,6,"[2, 3, 21, 37]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0
42,46,7,28,3,"[2, 28, 37]",0,0,0,0,0,0,6,11,2,0,2,10,0,0,12,0,0,0,1,4,0,2,0,0,2,0,0,7,12,2,3,6,0,2,2,0,0,2,3,2,0,4,4,9,2,0
43,47,42,16,5,"[2, 16, 28, 37]",0,0,0,0,0,0,3,6,0,0,1,5,0,0,7,0,0,0,0,2,0,1,0,0,1,0,0,4,9,0,0,4,0,2,1,0,0,1,3,1,0,2,2,8,1,0
44,48,8,1,5,"[0, 1, 23]",0,0,0,0,0,0,2,4,0,2,2,0,0,0,4,0,0,0,2,4,0,0,0,0,2,0,0,6,14,0,2,2,0,2,0,0,0,2,4,0,0,0,4,10,0,0
